"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","dshpct","gme_part_a","gme_part_b","beds","bed_days","medicare_days","medicaid_days","days","intres","employees","volunteers","medicare_disch","medicaid_disch","discharges","medicaid_hmo_discharges","medicaid_hmo_ipf_subprovider","medicaid_hmo_irf_subprovider","medicaid_ipf_subprovider","medicaid_irf_subprovider","total_discharges_subprovider_ipf","total_discharges_subprovider_irf"
"010001","010001",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","Amended","SOUTHEAST ALABAMA MEDICAL CENTER        ","1108 ROSS CLARK CIRCLE                  ","6987                                    ","DOTHAN                                  ","AL                                      ","36301                                   ","HOUSTON                                 ",,,,9327053,,,0.152300000190735,,,408,148920,42459,16707,90432,,2154.78002929688,,7756,2222,17728,,,,,,247,
"010005","010005",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","As Submitted","MARSHALL MEDICAL CENTER - SOUTH         ","2505 U.S. HIGHWAY 431                   ",,"BOAZ                                    ","AL                                      ","35957-                                  ","MARSHALL                                ",,,,2180271,,,0.171299993991852,,,114,41610,9132,4591,19641,,598.719970703125,,2109,1134,5283,,,,,,,
"010006","010006",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","Reopened","ELIZA COFFEE MEMORIAL HOSPITAL          ","205 MARENGO STREET                      ","818                                     ","FLORENCE                                ","AL                                      ","35630                                   ","LAUDERDALE                              ",,,,3730896,,,0.105599999427795,,,358,131028,27680,8519,51598,,968.530029296875,,5142,1935,10862,,,,,,,
"010007","010007",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","As Submitted","MIZELL MEMORIAL HOSPITAL                ","702 MAIN STREET                         ","429                                     ","OPP                                     ","AL                                      ","36462-                                  ","COVINGTON                               ",,,,235773,,,0.0579000003635883,,,78,28470,4865,773,7451,,158.449996948242,,981,253,1692,,,,,,244,
"010008","010008",1/1/2011,"01-JAN-11",12/31/2011,"31-DEC-11","As Submitted","CRENSHAW COMMUNITY HOSPITAL             ","101 HOSPITAL CIRCLE                     ",,"LUVERNE                                 ","AL                                      ","36049                                   ","CRENSHAW                                ",,,,238552,,,0.169699996709824,,,29,10585,1566,786,3414,,107.069999694824,,361,233,864,,,,123,,565,
"010009","010009",2/1/2011,"01-FEB-11",1/31/2012,"31-JAN-12","Reopened","HARTSELLE MEDICAL CENTER                ","201 PINE STREET NW                      ",,"HARTSELLE                               ","AL                                      ","35640-                                  ","MORGAN                                  ",,,,175131,,,0.0640999972820282,,,130,47450,2148,293,3153,,108.370002746582,,572,104,967,,,,5,,378,
"010010","010010",10/1/2010,"01-OCT-10",9/30/2011,"30-SEP-11","As Submitted","MARSHALL MEDICAL CENTER - NORTH         ","8000 ALABAMA HIGHWAY 69                 ",,"GUNTERSVILLE                            ","AL                                      ","35976-                                  ","MARSHALL                                ",,,,1112826,,,0.088699996471405,,,90,32850,10194,2185,18949,,477.600006103516,,2278,482,4712,,,,,,,
"010011","010011",7/1/2011,"01-JUL-11",6/30/2012,"30-JUN-12","Settled","ST. VINCENT S EAST                      ","50 MEDICAL PARK DRIVE EAST              ",,"BIRMINGHAM                              ","AL                                      ","35235-                                  ","JEFFERSON                               ",1504564,,,2048503,,,0.0650999993085861,744141,238608,279,102114,22844,10497,74109,15.210000038147,1145.93994140625,,4063,1654,13954,,,,21,2,321,275
"010012","010012",4/1/2011,"01-APR-11",3/31/2012,"31-MAR-12","Settled","DEKALB REGIONAL MEDICAL CENTER          ","200 MEDICAL CENTER DRIVE                ",,"FORT PAYNE                              ","AL                                      ","35967                                   ","DEKALB                                  ",,,,936150,,,0.119999997317791,,,97,35502,5440,2796,12487,,356.109985351562,,1485,895,3853,,,,13,,295,
"010015","010015",4/1/2011,"01-APR-11",8/15/2011,"15-AUG-11","Settled","SOUTHWEST ALABAMA MEDICAL CENTER        ","33400 HIGHWAY 43 NORTH                  ",,"THOMASVILLE                             ","AL                                      ","36784-                                  ","CLARKE                                  ",,,,11964,,,0.0353999994695187,,,27,3699,295,,592,,75.0299987792969,,92,30,204,,,,,,,
